ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
112,345,0,21,2,0,2,2,2,,0,0,0,,,
113,345,1,15,-2,0,0,0,0,,0,0,0,,,
114,345,0,15,0,0,2,2,2,,0,0,0,,,
115,361,0,12,-3,0,0,0,0,,1,1,1,,,
116,379,0,12,0,0,0,0,0,,1,1,1,,,
117,380,2,14,1,0,2,2,2,,1,1,1,,,
118,380,2,13,2,0,2,2,2,,1,1,1,,,
119,383,2,13,0,0,0,0,0,,0,0,0,,,
120,383,2,12,0,0,0,0,0,,0,0,0,,,
121,383,2,13,0,0,0,0,0,,0,0,0,,,
122,390,1,14,0,0,2,2,2,,0,0,0,,,
123,393,0,12,-1,0,0,0,0,,1,1,1,,,
124,395,1,17,1,0,2,2,2,,0,0,0,,,
125,395,0,12,0,0,0,0,0,,1,1,1,,,
126,395,2,13,1,0,2,2,2,,1,1,1,,,
127,396,2,12,0,0,0,0,0,,0,0,0,,,
128,398,2,15,-1,0,0,0,0,,0,0,0,,,
129,398,0,12,0,0,0,0,0,,1,1,1,,,
130,410,0,13,0,0,0,0,0,,1,1,1,,,
131,410,2,13,0,0,0,0,0,,0,0,0,,,
132,410,0,11,-1,0,0,0,0,,1,1,1,,,
133,410,2,12,0,0,0,0,0,,0,0,0,,,
134,457,2,17,0,0,2,2,2,,1,1,1,,,
135,457,0,15,-1,0,0,0,0,,1,1,1,,,
136,464,0,15,3,1,2,2,2,,0,0,0,,,
137,464,0,18,-1,0,2,2,2,,0,0,0,,,
138,465,0,14,-1,0,0,0,0,,1,1,1,,,
139,465,0,13,0,0,0,0,0,,1,1,1,,,
140,469,1,16,1,0,2,2,2,,0,0,0,,,
141,469,2,16,1,0,2,2,2,,1,1,1,,,
142,470,0,14,-1,0,0,0,0,,1,1,1,,,
143,471,0,15,-1,0,0,0,0,,1,1,1,,,
144,472,1,17,4,1,2,2,2,,0,0,0,,,
145,472,0,16,3,1,2,2,2,,0,0,0,,,
146,473,2,20,4,0,2,2,2,,1,1,1,,,
147,473,2,17,3,0,2,2,2,,1,1,1,,,
148,473,2,16,0,0,2,2,2,,1,1,1,,,
149,474,0,9,-4,0,0,0,0,,1,1,1,,,
150,477,2,19,3,0,2,2,2,,1,1,1,,,
151,477,2,14,0,0,2,2,2,,1,1,1,,,
152,477,2,18,2,0,2,2,2,,1,1,1,,,
153,480,2,20,5,1,2,2,2,,1,1,1,,,
154,480,0,16,5,1,2,2,2,,0,0,0,,,
155,480,2,19,1,0,2,2,2,,1,1,1,,,
156,480,2,18,1,0,2,2,2,,1,1,1,,,
157,480,2,17,0,0,2,2,2,,1,1,1,,,
158,480,0,14,-2,0,0,0,0,,1,1,1,,,
159,481,2,16,0,0,2,2,2,,1,1,1,,,
160,481,0,20,2,0,2,2,2,,0,0,0,,,
