ID,SubVehID,Choice,Gap,RelativeSpeed,TW
188,553,3,17.5695,4.23,0
189,559,3,14.7475,1.44,0
190,559,2,13.9485,-0.099,0
191,565,3,16.1415,-0.081,0
192,566,3,12.8435,-3.456,0
193,576,3,15.47,2.79,1
194,576,3,14.2885,8.487,1
195,580,1,11.8405,-2.673,0
196,592,3,13.5405,-1.278,0
197,596,3,12.2145,-0.288,0
198,596,1,15.3,-1.251,0
199,605,3,16.9575,2.871,1
200,605,1,16.8895,2.196,1
201,605,3,19.431,11.007,1
202,609,3,17.748,-2.655,0
203,609,1,15.4615,-1.611,0
204,612,1,15.7165,-4.158,0
205,632,3,16.796,7.128,1
206,632,3,16.6345,0.351,0
207,632,1,15.266,-0.846,0
208,641,3,15.6825,-0.441,0
209,641,1,17.595,-0.306,0
210,646,2,15.929,0.198,1
211,646,2,16.1585,-1.476,1
212,646,1,15.232,-1.233,1
213,646,3,15.827,1.386,1
214,646,1,15.385,-0.657,1
215,646,3,15.9885,1.917,1
216,646,3,15.4275,1.215,1
217,646,1,16.5495,3.186,1
218,651,3,16.6685,-0.288,1
219,651,3,17.7565,0.891,0
220,651,3,18.2155,0.171,0
221,652,1,11.6365,-4.617,1
222,652,3,16.1585,1.188,1
223,652,2,14.484,-0.333,1
224,660,1,14.042,-0.783,1
225,663,3,16.405,4.221,1
226,663,3,14.11,-0.846,1
227,667,2,14.1525,-0.504,0
228,667,3,16.3455,0.846,0
229,672,3,15.7165,0.072,0
230,672,1,13.736,-1.134,0
231,672,1,13.43,-0.864,0
232,678,2,13.498,0.072,0
233,678,3,13.005,-0.783,0
234,678,2,14.042,-0.036,0
235,690,1,16.422,-0.27,1
236,690,3,16.2435,-0.621,1
237,690,3,17.5355,1.602,1
238,690,3,17.1275,1.251,1
239,690,3,16.303,1.044,1
240,692,1,16.4135,-0.702,1
241,692,3,17.8585,4.518,1
242,697,3,21.403,2.916,0
243,697,3,17.816,0.486,0
244,699,1,17.544,0.306,1
245,699,3,18.768,2.538,0
246,706,3,17.289,0.027,0
247,706,2,17.612,-0.981,0
248,708,3,18.4705,-0.729,0
249,709,3,17.0595,2.061,1
250,709,3,17.9095,3.375,1
251,713,1,15.5295,-3.402,1
252,713,3,17.7055,0.081,1
253,713,3,16.337,-0.441,0
254,713,1,17.0595,-2.106,0
255,713,1,17.323,-3.618,0
256,716,2,17.4335,0.171,0
257,721,3,18.003,-1.008,0
258,725,3,17.833,0.819,0
259,725,3,16.813,0.027,0
260,725,2,19.6435,0.063,0
